Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,297.698974609375,297.71731977517936,295.5546875996484,296.4802235866316,59151200
2020-01-03,295.4446716308594,296.57180846852066,294.2442380396561,294.29921759610926,77709700
2020-01-06,296.5718078613281,296.6542771958389,293.56610963371855,293.6852413275185,55653900
2020-01-07,295.73797607421875,296.4802282058735,295.28893898289255,296.00370133060426,40496400
2020-01-08,297.3140869140625,298.5328378108533,295.6829613419756,295.9303693680399,68296000
2020-01-09,299.33013916015625,299.40346390249715,298.2946439048552,298.88112998280087,48473300
2020-01-10,298.4686584472656,300.07229409242746,298.0013322184309,299.91652800454466,53029300
2020-01-13,300.5213623046875,300.5305069215687,298.66114588168574,299.0918377611585,47086800
2020-01-14,300.0632019042969,301.1353314053116,299.50420569698866,300.0815191045464,62832800
2020-01-15,300.7413024902344,301.5018717974519,299.8890912511953,299.9715606002773,72056600
2020-01-16,303.2429504394531,303.2429504394531,301.89589529250605,302.12498611365226,54050300
2020-01-17,304.1868896484375,304.3976353658539,303.17888415689373,303.95779876241374,95846000
2020-01-21,303.59112548828125,304.3975296013269,303.1512890376646,303.2245857910386,77742400
2020-01-22,303.6278381347656,305.10319771439003,303.4720720211028,304.4525595814496,48914900
2020-01-23,303.9760437011719,304.38841838405864,301.85924665475704,302.97721103138565,51963000
2020-01-24,301.2727966308594,304.7183320973039,299.9807208309427,304.6358627439296,87578400
2020-01-27,296.443603515625,297.92810796760887,295.6738615021962,296.0129115356498,84062500
2020-01-28,299.5500793457031,300.4297804795818,296.53523558628365,297.873118472315,63834000
2020-01-29,299.3026428222656,301.1445424118308,299.10104173303364,300.9154515361215,53888900
2020-01-30,300.27392578125,300.4846994121744,296.4801961809347,297.2315928492786,75491800
2020-01-31,294.8216552734375,299.80667522712497,293.9052917226155,299.6508811187989,113845600
2020-02-03,297.01165771484375,298.88104661033793,296.1869363673335,296.3060680665093,69083000
2020-02-04,301.53851318359375,302.4090695275427,300.31058968515316,300.631322441618,62573200
2020-02-05,305.0207214355469,305.23149509436865,303.013911228474,304.4800703613793,65951100
2020-02-06,306.047119140625,306.23954766256264,304.9657888604678,305.98296697824674,50359700
2020-02-07,304.4159240722656,306.056194377022,303.86610045474913,304.98406488979606,64139400
2020-02-10,306.68853759765625,306.7526897560034,303.49043784674745,303.5271002179738,42070000
2020-02-11,307.2199401855469,308.83272042644336,306.6884338607306,308.0446614854078,54864500
2020-02-12,309.1993713378906,309.41011703621217,308.29215249510275,308.6586922864908,43992700
2020-02-13,308.8694763183594,309.8408193824816,307.4949310806172,307.7698289420879,54501900
2020-02-14,309.3642883300781,309.48342004608406,308.0813851676903,309.28181898019517,64582200
2020-02-18,308.5671081542969,309.4284921282204,307.1742176610438,308.3655070547574,57226200
2020-02-19,310.0423583984375,310.72045829777164,309.25429937652905,309.53836976490896,48814700
2020-02-20,308.7686767578125,310.31733323101616,305.7721503679696,309.4925837509388,74163400
2020-02-21,305.58892822265625,307.72404299995856,304.76417865144776,307.41248274725154,113788200
2020-02-24,295.453857421875,305.662129694088,294.37252751118245,296.11364009399773,161088400
2020-02-25,286.5009460449219,297.4606419779516,285.6212452119003,296.8466943005458,218913200
2020-02-26,285.4471740722656,291.5043221918887,284.714094602618,287.90302105729336,194773800
2020-02-27,272.6273498535156,285.5022475434753,272.6273498535156,279.9124238619062,284353500
2020-02-28,271.4818420410156,272.97551892461485,261.6584248326628,264.55413666270186,384975800
2020-03-02,283.23876953125,283.3029216830661,269.8323680613231,273.26873092756443,238703600
2020-03-03,275.12896728515625,287.59151643262715,272.6822924096113,283.614502212992,300139100
2020-03-04,286.69354248046875,286.9134887914965,277.9605972724039,280.5172599034387,176613400
2020-03-05,277.1632080078125,282.67055983568656,274.9181349277583,279.4724611892447,186366800
2020-03-06,272.58148193359375,273.79108847879223,265.95619165209234,268.6319574415611,228667200
2020-03-09,251.29440307617188,260.42137681017505,250.5796405783017,252.2748908862515,309417300
2020-03-10,264.2975158691406,264.3891298271903,250.62536309853394,260.833663706167,276444100
2020-03-11,251.4134979248047,258.35954950898685,248.2245705699744,257.22326762073214,255316300
2020-03-12,227.35890197753906,244.3574442174833,226.9648584822949,234.58900795239302,392220700
2020-03-13,246.7949981689453,248.77434647333422,227.7346366084583,241.08604410630707,329566100
2020-03-16,219.7897491455078,235.4137326543231,217.507999431992,221.00850006335853,297240000
2020-03-17,231.6566619873047,234.7448160424353,217.24227013870095,224.54567331011896,262070500
2020-03-18,219.92721557617188,227.5971727449602,208.94918598045479,216.4908528327942,327597100
2020-03-19,220.39456176757812,226.6899879899135,212.79791514547082,219.23994888867023,289322000
2020-03-20,210.89678955078125,225.34063684981126,210.62026123073204,223.55243632028285,347158800
2020-03-23,205.5045623779297,211.70794809546493,201.18154415651045,210.33454690571875,326025200
2020-03-24,224.12396240234375,224.9996379339709,215.50559082451886,216.0770724853135,235494500
2020-03-25,227.47915649414062,236.29111690961022,220.99002898483698,225.7093944461487,299430300
2020-03-26,240.76161193847656,242.23639250176075,229.56231770960696,229.99554223572162,257632800
2020-03-27,233.5903778076172,240.4021241650425,231.40583018380667,233.45212064085143,224341200
2020-03-30,241.17636108398438,241.8953263873629,233.6917407130098,235.69194049956965,171369500
2020-03-31,237.58157348632812,242.72493717157138,236.17129407830672,240.17169430674883,194881100
2020-04-01,226.8892364501953,237.49861037670934,224.8152945665013,228.57604420337796,189554600
2020-04-02,232.124755859375,232.9082364450092,225.45126781068453,226.00432451274554,177660400
2020-04-03,228.7696075439453,233.4981993171639,226.03200326101012,231.1385026260033,135561200
2020-04-06,244.13519287109375,246.10775542428493,228.7511655917904,237.66450470907907,188061200
2020-04-07,244.38404846191406,253.5093852537286,244.16283704114784,252.7535420599355,201427200
2020-04-08,252.58763122558594,254.40348330041545,244.49465197621447,246.99259134536752,153774500
2020-04-09,256.431396484375,259.19665225611317,253.91500360542418,255.8598866626546,189999200
2020-04-13,254.09019470214844,255.79544176301198,250.17274816243278,255.45439797676778,114839100
2020-04-14,261.583984375,262.6071155005401,253.9518796282053,258.99386373886557,134143400
2020-04-15,256.02587890625,261.722300280177,253.90583214374047,255.85074375235794,121775000
2020-04-16,257.260986328125,258.1182089286888,254.18233805357292,257.3070626758222,131798300
2020-04-17,264.2110290527344,264.819360669929,260.3027811151515,263.0496124333535,146684800
2020-04-20,259.5561828613281,264.3493052621317,259.33497134824717,260.49635992156533,100109300
2020-04-21,251.67507934570312,256.28383761316223,250.73487465617947,255.07634519745818,126385700
2020-04-22,257.260986328125,259.0123094851933,255.2423472173533,256.56967233483715,92951600
2020-04-23,257.2425842285156,261.72231441957894,256.9384183882742,258.54225816883513,104709700
2020-04-24,260.82818603515625,261.5010751772148,256.7079531308153,258.7634703866844,85063200
2020-04-27,264.5888977050781,265.7134362590303,262.349047118566,262.80992311396216,77896600
2020-04-28,263.37213134765625,268.5984478924174,263.06793752484685,268.24817773506373,105270000
2020-04-29,270.26690673828125,271.8062450162346,267.6860122880096,268.71837006811825,118745600
2020-04-30,267.7505187988281,270.3682909831344,266.0083940965527,268.88425570382896,122901700
2020-05-01,260.6622314453125,267.91641450243395,259.49158851242345,262.9850361402211,125180000
2020-05-04,261.3811950683594,261.6853608206869,257.28861435013727,258.7726214184617,80873200
2020-05-05,263.796142578125,266.6167007575491,261.5101880508397,264.2109421284769,79569900
2020-05-06,262.00799560546875,265.8885634952178,261.57477105747034,265.50144342317355,73632600
2020-05-07,265.16961669921875,267.10530158420426,264.6626643356071,265.2341460923008,75250400
2020-05-08,269.5571594238281,270.0272619493122,267.1790234909967,268.312788587313,76452400
2020-05-11,269.61248779296875,270.9951159354968,267.1975018047624,267.62149989217136,79514200
2020-05-12,264.2386474609375,271.2162884383801,264.1003621628556,270.801516933047,95870800
2020-05-13,259.56536865234375,264.71795895334134,257.13192987174455,263.6763746932957,144721100
2020-05-14,262.6716613769531,262.80069202601,251.62906259247328,257.1227246154744,121977900
2020-05-15,263.87908935546875,263.9251656910274,259.3256334688875,260.27503664436966,111146300
2020-05-18,271.9168395996094,273.5299055972342,269.7968212545865,270.11941195040055,119703800
2020-05-19,269.1239013671875,273.0321203926456,269.1054764559933,271.317675373618,95189300
2020-05-20,273.69580078125,274.5622498678464,272.44223162680925,272.6726696151671,85861700
2020-05-21,271.80615234375,274.37784752499084,270.70926554395885,273.56670150871196,78293900
2020-05-22,272.3223571777344,272.4974922721214,270.27606703298926,271.5204376032428,63958200
2020-05-26,275.6775207519531,278.54418352711934,272.34078367877794,278.304519053477,88951400
2020-05-27,279.7794189453125,279.816296906292,273.64054647059055,278.4797450847971,104817400
2020-05-28,279.26324462890625,282.830420879919,278.5903554457022,280.8117814599495,90405200
2020-05-29,280.50750732421875,281.09741383366213,276.0370055830861,278.79303439283416,119090800
2020-06-01,281.6413269042969,282.24968663129556,279.34617330716014,279.86235220346686,55758300
2020-06-02,283.9733581542969,284.01946263441334,281.2265550582553,282.56307864811095,74267200
2020-06-03,287.75250244140625,288.71113229720396,285.68778717935186,285.9643014985071,92567600
2020-06-04,286.9967041015625,288.5083909621859,284.8951105577584,286.76626608961186,75794400
2020-06-05,294.3523254394531,296.13130032112196,292.3429125224497,292.4074419234577,150524700
2020-06-08,297.91021728515625,298.10377730263014,294.619556339926,295.16338657068064,73641200
2020-06-09,295.6888427734375,297.9839963359164,294.37071598669127,295.2371651487596,77479200
2020-06-10,294.0388488769531,297.1636012434189,293.3198835377999,296.269500797197,95000800
2020-06-11,277.0879211425781,287.72494962964055,276.53489231471235,287.0889383479495,209243600
2020-06-12,280.40606689453125,284.8949930145261,275.2350535420659,284.1207249893797,194678900
2020-06-15,283.0238952636719,284.157660169738,273.52063590787077,274.70047715474163,135782700
2020-06-16,288.4715270996094,290.9418440869541,283.5954787818158,290.7943603765424,137627500
2020-06-17,287.273193359375,289.78958611023603,286.5357749799992,289.49461875848573,83398900
2020-06-18,287.3838195800781,287.86312046362997,285.2914527967437,285.7523287681102,80828700
2020-06-19,285.7414855957031,291.0556161654006,283.78801540239226,290.86120433450185,135549600
2020-06-22,287.57452392578125,287.97261465069647,283.9916508946989,285.1396439631699,74649400
2020-06-23,288.8984375,291.16667889130184,288.4910796317382,290.2316035682341,68471200
2020-06-24,281.5290222167969,287.47272350488674,279.6866728739989,286.85241955719425,132813500
2020-06-25,284.547119140625,284.8156113948789,278.9274573121908,280.95497926839084,89468000
2020-06-26,277.78875732421875,283.6584065601255,277.20552185285015,283.44546048892926,127961000
2020-06-29,281.8715515136719,282.0104170904512,276.75183339130206,279.04784785660627,79773300
